AA0818;EBA07;17;7.225;702
AA0821;;;6.833;747
AA0822;EBC04;34;-1;713
AA0823;;;7.211;668
AA0825;EBC48;4;7.08;754
AA0826;EBA50;43;7.009;772
AA0827;;;7.059;739
AA0828;LBA28;11;7.01;643.8
AA0831;LBC49;26;7.22;648
AA0832;EBC62;33;6.77;734
AA0833;LBC52;1;6.8;691.7
AA0835;EBA07;37;6.973;706
AA0838;;;7.125;700
AA0839;LBC31;45;6.925;680
AA0841;EBC24;14;7.107;697
AA0843;EBC17;17;-1;703
AA0845;;;7.072;704
AA0846;;;7.021;720
AA0849;EBC33;5;7.088;694
AA0850;EBC47;18;7.094;703
AA0851;LBA31;29;7.542;687
AA0852;;;7.243;658
AA0855;;;6.982;647
AA0856;LBA49;38;7.004;691
AA0862;LBA14;36;6.998;679
AA0864;;;6.973;754
AA0867;EBC64;12;7.12;708
AA0868;EBA07;16;7.129;725
AA0869;EBC52;2;7.02;692.5
AA0870;EBA09;11;7.103;754
AA0872;EBC22;10;-1;712
AA0874;LBC49;6;7.169;672
AA0875;LBA05;6;-1;626
AA0878;LBC58;3;7.04;690
AA0879;LBC01;11;7.183;672
AA0884;LBC49;48;7.199;638.46
AA0885;LBC49;24;6.9;689
AA0886;EBC35;12;7.082;711
AA0887;LBC49;16;7.181;660
AA0888;LBC49;28;7.147;680
AA0889;LBC41;19;7.315;651.926
AA0890;;;7.066;687.785
AA0892;LBC55;18;7.073;660
AA0894;LBA49;42;7.372;618.433
AA0895;LBC06;5;7.156;660
AA0897;LBA49;26;7.364;639
AA0899;;;7.081;659
AA0900;LBC31;43;7.173;679.626
AA0901;LBA54;27;7.266;665
AA0903;LBA51;25;-1;643
AA0904;LBC28;16;7.469;670
AA0907;LBA58;41;7.166;666
AA0909;;;7.236;653.179
AA0911;;;7.236;719
AA0912;LBC26;8;7.005;687.076
AA0913;EBA42;14;7.215;695
AA0914;LBA38;15;7.03;647.2
AA0916;;;7.135;661
AA0917;LBC49;38;7.118;669.717
AA0918;;;7.237;689.622
AA0919;LBC49;39;7.011;672.847
AA0920;LBC49;14;7.186;656.582
AA0922;LBC58;24;7.164;654.603
AA0923;;0;7.146;657.89
AA0925;LBC58;5;7.26;633.744
AA0929;LBC31;4;6.998;679.483
AA0930;LBA51;34;-1;622
AA0931;;0;6.964;724
AA0933;EBA28;16;6.93;726.2
AA0934;;0;6.927;661
AA0936;;0;7.112;628
AA0937;;0;6.889;656
AA0938;;0;7.006;679
AA0939;LBC49;1;6.975;646
AA0940;LBC26;42;7.302;660
AA0941;LBC55;40;7.099;654
AA0942;LBA57;7;7.106;680
AA0943;EBC64;16;6.923;744
AA0944;EBC64;37;7.251;719
AA0947;EBA18;34;-1;751
AA0952;LBC58;48;7.161;612
AA0955;LBA45;47;7.287;603
AA0957;LBA34;34;7.185;654
AA0958;LBA49;27;7.229;672
AA0959;LBA30;3;6.997;676
AA0960;LBA29;45;7.235;647
AA0966;LBC11;19;7.167;638
AA0967;LBA17;15;7.256;660
AA0969;LBC35;30;6.879;663
AA0971;LBC49;43;7.564;648
AA0972;LBA58;14;7.379;661
AA0974;LBC49;46;7.24;678.269
AA0976;LBC29;41;7.04;682.3
AA0981;LBA04;22;7.07;670
AA0982;LBC17;4;7.104;664
AA0986;LBC62;29;-1;689
AA0987;LBC35;12;-1;679
AA0989;LBA49;40;6.997;663
AA0990;LBA44;43;7.103;684
AA0991;LBA56;4;7.261;656
AA0995;LBC58;20;7.243;668.681
AA0996;EBC47;37;6.968;715
AA0997;LBC58;6;7.404;624
AA0998;EBC11;9;-1;715
AA0999;LBA62;26;7.066;690
AA1001;LBC29;5;7.01;647.7
AA1002;;0;7.002;682
AA1003;LBA31;30;6.916;671
AA1004;LBA58;29;7.228;688
AA1007;LBC09;48;6.981;667.076
AA1008;LBC58;2;7.17;633.294
AA1010;EBC19;15;7.004;705
AA1011;EBC27;37;7.048;701
AA1013;LBA62;14;-1;686
AA1017;EBC49;17;7.052;703
AA1019;LBC49;2;7.185;662
AA1021;LBC24;4;7.073;676.045
AA1023;LBC49;37;7.15;660
AA1024;;0;7.283;664.017
AA1029;EBA07;42;7.174;703
AA1030;EBC19;17;7.106;727
AA1031;EBA17;4;6.84;767
AA1032;EBC49;18;7.156;701
AA1033;EBC25;4;6.585;744
AA1034;LBA35;38;-1;652
AA1036;LBC49;4;7.134;674
AA1040;EBC10;6;-1;699
AA1046;LBC49;34;7.158;665.381
AA1047;EBC64;9;6.875;723.722
AA1049;EBC57;34;7.039;715.151
AA1050;;0;7.042;668
AA1053;;0;6.804;697
AA1054;EBC64;6;7.014;700
AA1056;;0;7.186;665
AA1059;EBC33;13;7.033;695
AA1060;LBA54;21;7.182;629
AA1061;LBA50;28;7.346;602
AA1063;LBA49;39;7.122;675
AA1064;LBC49;17;7.182;665
AA1066;LBC52;34;7.194;663
AA1069;LBA14;34;7.199;623
AA1070;LBA09;25;7.331;600
AA1071;EBC64;7;6.941;707
AA1073;EBC48;16;6.969;717.541
AA1075;EBC19;4;7.02;711
AA1079;LBC48;40;7.063;642
AA1080;LBA56;34;7.162;639
AA1082;LBC54;12;7.077;655
AA1083;EBC39;9;6.839;729
AA1085;LBC55;17;6.97;658
AA1093;LBC60;6;-1;643
AA1094;LBA13;19;7.34;618
AA1095;EBA11;22;7.145;722
AA1096;LBA34;11;7.446;626
AA1097;LBC11;25;7.403;613
AA1098;;0;7.173;632
AA1099;;0;-1;1010
AA1100;LBC19;8;7.173;682
AA1103;EBC33;38;7.168;707
AA1104;LBC14;46;7.124;682
AA1105;EBA56;17;6.96;733
AA1106;EBA07;3;7.105;705
AA1107;LBC31;39;7.028;655
AA1108;LBA29;25;7.304;614
AA1111;LBC49;9;7.336;616
AA1112;EBC44;11;7.138;711
AA1115;LBA49;31;6.895;684
AA1117;LBA58;15;7.066;693
AA1118;EBA17;3;7.138;707
AA1119;EBA33;15;6.98;715
AA1121;EBA22;41;6.928;711
AA1122;LBC02;34;7.123;616
AA1123;LBA44;46;7.189;677.17
AA1124;LBC49;22;7.1;665
AA1130;;0;7.133;664
AA1132;LBC63;13;7.295;680
AA1134;LBA58;18;6.704;673
AA1135;LBA09;43;7.227;662
AA1141;LBA56;46;7.179;660
AA1142;LBA09;40;6.841;657
AA1144;LBA19;31;-1;651
AA1147;;0;7.137;671
AA1149;EBC64;17;6.944;706
AA1153;LBA03;39;-1;670
AA1154;LBC55;47;7.06;655
AA1155;EBC64;4;6.953;723
AA1158;LBA36;22;-1;676
AA1159;EBC57;4;6.962;729
AA1160;LBC58;4;7.077;650
AA1161;LBA35;28;7.07;644
AA1162;LBA58;13;6.969;664
AA1163;EBA07;11;6.944;724
AA1164;EBA24;9;7.07;739
AA1165;LBC59;13;-1;647
AA1166;LBC49;29;7.085;683
AA1170;LBA14;43;7.119;682
AA1172;LBA31;2;7.262;604
AA1174;LBA25;21;7.333;648
AA1175;;0;7.1;671
AA1176;LBA51;4;-1;686
AA1177;EBA07;7;6.873;742
AA1178;;0;7.071;718
AA1179;LBC40;39;7.105;660
AA1180;EBA60;2;-1;695
AA1181;LBC01;28;7.119;670
AA1182;LBC49;3;7.023;646
AA1184;EBA21;5;6.873;699
AA1186;LBC48;1;7.194;689
AA1188;;0;6.864;748
AA1189;EBC33;12;6.888;749
AA1192;EBA56;37;7.06;749
AA1194;EBA44;16;6.819;727
AA1195;LBA40;27;7.189;643
AA1200;LBA58;8;6.962;650
AA1201;LBC49;36;7.095;671
AA1205;LBC36;30;-1;645
AA1208;LBC09;41;7.172;691
AA1209;LBA44;42;7.242;667
AA1211;EBC64;43;7.05;720
AA1213;LBA58;30;7.127;693
AA1216;EBA42;9;7.176;749
AA1217;LBC49;15;7.245;620
AA1219;LBC51;27;7.052;644.887
AA1221;EBC48;15;6.83;751.269
AA1222;;0;7.04;719
AA1224;LBC49;25;7.163;629.262
AA1227;EBC62;38;6.863;758
AA1229;EBC18;20;6.9;705
AA1230;;0;7.006;651
AA1234;LBA36;1;-1;672
AA1235;LBA46;21;-1;630
AA1255;EBC16;42;-1;723
AA1256;LBC51;46;-1;682
AA1259;LBA00;16;7.1;654.622
AA1261;LBC54;47;7.397;661.79
AA1262;EBC62;37;7.046;701
AA1263;LBC58;16;7.09;628.592
AA1273;EBC39;41;7.089;736
AA1283;LBA54;42;7.044;667
AA1284;;0;7.072;696
AA1285;;0;7.042;698
AA1288;;0;6.842;675
AA1290;LBC49;7;6.984;617.483
