9.850 
9.510 
9.610 
9.790 
9.510 
9.820 
9.780 
9.800 
9.740 
9.880 
9.610 
9.460 
9.750 
9.640 
9.710 
9.820 
10.000 
9.230 
10.000 
9.730 
9.820 
9.640 
9.710 
9.660 
9.790 
9.570 
9.780 
9.880 
10.040 
9.770 
9.730 
9.700 
9.740 
9.640 
9.650 
9.710 
9.570 
10.000 
9.910 
9.780 
10.100 
9.640 
9.790 
9.660 
9.760 
9.730 
9.670 
9.580 
9.830 
9.790 
9.750 
9.650 
9.880 
9.730 
9.750 
9.780 
9.790 
9.600 
9.610 
9.670 
10.010 
9.740 
9.800 
9.540 
2019.11.07 14:20:53.262, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:20:58.298, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:21:03.330, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:21:08.363, LVPS_13, Reading= 9.8995612429687, Threshold= 9.75
2019.11.07 14:21:13.395, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:21:18.429, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:21:23.463, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:21:28.498, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:21:33.532, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:21:38.625, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:21:43.661, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:21:48.771, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:21:53.806, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:21:58.870, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:22:03.968, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:22:09.020, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:22:14.154, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:22:19.188, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:22:24.221, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:22:29.256, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:22:34.291, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:22:39.327, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:22:44.371, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:22:49.406, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:22:54.439, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:22:59.474, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:23:04.507, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:23:09.545, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:23:14.580, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:23:19.614, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:23:24.648, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:23:29.683, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:23:34.719, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:23:39.753, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:23:44.790, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:23:49.826, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:23:54.857, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:23:59.893, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:24:04.924, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:24:09.958, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:24:14.993, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:24:20.245, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:24:25.287, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:24:30.320, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:24:35.354, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:24:40.388, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:24:45.422, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:24:50.454, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:24:55.502, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:00.538, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:05.586, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:10.658, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:15.705, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:25:20.763, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:25.794, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:30.872, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:35.902, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:40.938, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:25:45.973, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:25:51.007, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:25:56.039, LVPS_13, Reading= 9.8842985521875, Threshold= 9.75
2019.11.07 14:26:01.072, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:26:06.123, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:26:11.186, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:26:16.234, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:26:21.265, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:26:26.311, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:26:31.368, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:26:36.400, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:26:41.433, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:26:46.467, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:26:51.499, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:26:56.530, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:27:01.572, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:27:06.608, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:27:11.643, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:27:16.676, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:27:21.708, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:27:26.740, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:27:31.776, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
